core_rank,selection_role,priority_group,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_datum_cd,huc_cd,huc8_name,parameter_count,parameter_codes,parameter_names,site_web_url
22,major_tributary_water_quality,2_major_tributary,14181500,"NORTH SANTIAM RIVER AT NIAGARA, OR",ST,44.75377778,-122.2974444,NAD83,17090005,North Santiam,7,"00010,00060,00065,00095,00300,00400,63680","water_temperature,discharge,gage_height,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14181500/
23,major_tributary_water_quality,2_major_tributary,444728122450000,"NORTH SANTIAM RIVER AT GEREN ISLAND, NR STAYTON,OR",ST,44.79095556,-122.7511989,NAD27,17090005,North Santiam,5,"00010,00095,00300,00400,63680","water_temperature,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/444728122450000/
24,major_tributary_water_quality,2_major_tributary,14187500,"SOUTH SANTIAM RIVER AT WATERLOO, OR",ST,44.4984564,-122.8234214,NAD27,17090006,South Santiam,5,"00010,00060,00065,00300,63680","water_temperature,discharge,gage_height,dissolved_oxygen,turbidity",https://waterdata.usgs.gov/monitoring-location/14187500/
25,major_tributary_water_quality,2_major_tributary,14185000,"SOUTH SANTIAM RIVER BELOW CASCADIA, OR",ST,44.39179225,-122.4975817,NAD27,17090006,South Santiam,5,"00010,00060,00065,00300,63680","water_temperature,discharge,gage_height,dissolved_oxygen,turbidity",https://waterdata.usgs.gov/monitoring-location/14185000/
26,major_tributary_water_quality,2_major_tributary,14187200,"SOUTH SANTIAM RIVER NEAR FOSTER, OR",ST,44.4123468,-122.6886956,NAD27,17090006,South Santiam,5,"00010,00060,00065,00300,63680","water_temperature,discharge,gage_height,dissolved_oxygen,turbidity",https://waterdata.usgs.gov/monitoring-location/14187200/
27,major_tributary_water_quality,2_major_tributary,14210000,"CLACKAMAS RIVER AT ESTACADA, OR",ST,45.29984346,-122.3539746,NAD27,17090011,Clackamas,7,"00010,00060,00065,00095,00300,00400,63680","water_temperature,discharge,gage_height,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14210000/
28,major_tributary_water_quality,2_major_tributary,14211010,"CLACKAMAS RIVER NEAR OREGON CITY, OR",ST,45.3792874,-122.5773134,NAD27,17090011,Clackamas,7,"00010,00060,00065,00095,00300,00400,63680","water_temperature,discharge,gage_height,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14211010/
29,major_tributary_water_quality,2_major_tributary,14209710,"CLACKAMAS RIVER AT CARTER BRIDGE, NEAR ESTACADA,OR",ST,45.16706506,-122.1561923,NAD27,17090011,Clackamas,5,"00010,00095,00300,00400,63680","water_temperature,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14209710/
30,major_tributary_water_quality,2_major_tributary,14206241,"TUALATIN RIVER AT HWY 219 NEAR HILLSBORO, OR",ST,45.50038889,-122.99094444,NAD83,170900100404,Tualatin,7,"00010,00060,00065,00095,00300,00400,63680","water_temperature,discharge,gage_height,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14206241/
31,major_tributary_water_quality,2_major_tributary,14203500,"TUALATIN RIVER NEAR DILLEY, OR",ST,45.4748365,-123.124274,NAD27,17090010,Tualatin,7,"00010,00060,00065,00095,00300,00400,63680","water_temperature,discharge,gage_height,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14203500/
32,major_tributary_water_quality,2_major_tributary,14207200,"TUALATIN RIVER AT OSWEGO DAM, NEAR WEST LINN, OR",ST,45.35650877,-122.6850937,NAD27,17090010,Tualatin,5,"00010,00095,00300,00400,63680","water_temperature,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14207200/
33,lower_basin_tributary,2_major_tributary,14198500,"MOLALLA R AB PC NR WILHOIT, OR",ST,45.0097222,-122.4809167,NAD83,17090009,Molalla-Pudding,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14198500/
34,lower_basin_tributary,2_major_tributary,14200000,"MOLALLA RIVER NEAR CANBY, OR",ST,45.24391667,-122.6874444,NAD83,17090009,Molalla-Pudding,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14200000/
35,west_side_tributary,2_major_tributary,14194150,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",ST,45.2069444,-123.1816667,NAD83,17090008,Yamhill,2,"00060,00065","discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14194150/
